index,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,y
1695,66856.0,12,101,53,0.0,101,1875.0,5713.152174,41,13,8686.0,2,101,12,9,10,11,240.0,484.0,82.0,1
7124,77670.0,2,114,36,0.0,23,2050.0,4673.333333,4,7,9170.0,15,54,6,3,15,19,212.0,876.27,88.33,0
909,156062.67,19,450,252,0.0,125,3873.571429,6748.868613,52,34,40002.96,6,450,19,4,62,60,5358.0,12851.14,1027.29,1
4866,5800.94,7,19,14,0.0,13,1950.0,1391.666667,17,6,5800.94,3,19,11,5,15,18,121.0,286.0,49.5,1
7657,59050.0,35,233,127,0.0,95,14705.71429,8017.625,80,43,5460.0,6,227,17,12,25,27,7890.0,13187.57,2986.93,0
7476,1179649.08,19,813,154,0.0,99,9378.333333,33226.47222,61,156,880399.08,15,300,7,4,47,60,2040.0,5934.06,740.65,1
7665,10915.0,4,69,52,0.0,14,-88888.0,6020.0,6,5,615.0,5,69,2,2,10,10,132.0,660.0,55.0,1
915,365057.0,1,186,87,0.0,23,0.0,30811.36364,14,22,3057.0,6,186,8,3,49,60,812.0,4275.43,323.14,1
4870,1012.6,5,73,3,0.0,2,-88888.0,1000.0,5,2,1012.6,7,30,0,0,3,12,108.0,388.29,9.0,1
2016,34283.0,24,28,26,0.0,26,0.0,833.3333333,44,18,83.0,3,28,13,1,8,10,1274.0,2047.5,534.62,1
52,240470.0,38,240,83,0.0,79,17253.04348,9998.759124,125,24,88870.0,7,221,32,15,64,72,4347.0,11505.38,2496.38,1
125,20610.0,28,556,170,0.0,60,-88888.0,3575.555556,94,94,4130.0,9,316,7,4,116,114,43736.0,63275.2,17958.27,1
4253,43495.0,-88888,55,-88888,0.0,48,403.8888889,1238.703704,16,4,1020.0,9,49,8,8,11,12,120.0,547.5,67.5,1
6650,40890.0,-88888,22,8,0.0,0,0.0,0.0,2,4,90.0,5,22,0,0,6,4,39.0,80.6,14.3,1
3685,0.0,-88888,15,12,0.0,-88888,-88888.0,-88888.0,2,3,0.0,6,12,-88888,-88888,3,1,321.0,963.0,71.33,1
6259,83400.0,7,112,33,35.0,33,412.5,1645.454545,12,8,3600.0,9,87,4,2,15,19,350.0,1512.0,178.5,0
5752,33034.5,4,19,18,0.0,4,2500.0,1333.333333,36,11,34.5,3,19,0,0,1,2,45.0,66.0,23.0,1
1980,36000.0,0,12,0,0.0,12,6600.0,2788.888889,3,3,0.0,3,12,12,5,8,14,371.0,596.25,19.88,1
6499,55362.58,11,110,72,0.0,78,2177.777778,32187.5814,23,7,8021.03,5,110,55,22,45,50,4900.0,15761.67,1061.67,0
2850,50000.0,-88888,21,-88888,0.0,21,5747.5,1831.590909,5,0,-88888.0,0,21,0,0,0,0,8.0,36.0,2.5,1
4394,3104.0,-88888,21,6,2.25,1,-88888.0,900.0,5,14,104.0,11,12,0,0,7,8,45.0,99.0,29.25,1
7487,284133.35,11,332,62,31.6,56,1986.666667,10265.06849,34,41,133.35,14,200,12,11,36,37,869.0,2175.13,373.93,1
4771,5105.0,5,31,21,0.0,15,960.0,917.6470588,13,4,5.0,4,31,0,0,0,0,6.0,8.8,2.1,1
6138,140047.5,4,92,27,0.0,24,5750.0,7306.451613,9,7,32422.5,13,60,0,0,9,13,207.0,867.43,86.25,0
7032,200007.0,10,71,14,30.91,31,500.0,1153.571429,17,17,31057.0,10,48,58,54,76,77,850.0,3230.0,471.36,1
441,5210.8,18,436,85,0.0,110,4850.666667,7745.379747,34,46,1120.8,8,266,18,7,62,72,3397.0,9183.75,869.0,0
3881,2500.0,-88888,10,-88888,0.0,9,-88888.0,357.1428571,7,0,0.0,5,10,5,5,3,5,13.0,95.33,19.5,1
2288,20000.0,-88888,36,-88888,0.0,19,2161.904762,1508.305556,7,4,0.0,8,24,9,9,8,7,135.0,337.5,56.25,1
1003,38100.0,5,133,54,276.75,35,721.4285714,706.4567901,33,24,38100.0,7,102,48,33,99,120,2583.0,9747.75,968.62,1
7837,11004.82,161,179,93,0.0,39,25.86206897,174.5762712,349,143,24.82,7,152,5,3,12,13,65025.0,220511.25,29484.38,1
4211,1460120.0,4,29,25,0.0,16,-88888.0,306000.0,5,4,280120.0,6,29,0,0,0,0,1.0,5.8,1.0,0
4982,50.0,13,22,15,0.0,21,-88888.0,28.94736842,17,4,0.0,3,22,3,1,5,4,150.0,331.25,59.38,1
4598,0.9,7,92,58,0.0,57,-88888.0,-88888.0,8,11,0.9,7,88,10,-88888,4,9,66.5,335.67,34.83,1
5359,11.23,1,93,13,15.2,1,-88888.0,-88888.0,2,12,11.23,14,35,0,-88888,44,46,304.0,1900.0,110.2,1
7875,10000.0,4,66,37,0.0,6,0.0,0.0,16,14,0.0,15,50,0,0,11,10,536.0,1690.46,453.54,0
7401,146955.0,8,336,36,0.0,31,1216.0,1686.551724,54,95,0.0,12,113,12,4,35,46,6940.0,15988.69,4039.44,0
3764,94694.62,4,101,16,0.0,100,43844.0625,33317.1375,49,9,9117.72,14,101,31,26,12,19,624.0,3528.0,660.0,0
7765,379037.9,125,109,35,0.0,71,12486.94118,9965.363248,273,22,165152.9,5,109,50,37,43,44,30377.5,38268.67,14909.42,0
6770,148662.88,5,644,216,568.75,117,4457.272727,4396.804979,10,18,49176.88,9,430,26,16,55,90,2437.5,17550.0,431.25,1
3542,50542.97,17,142,123,0.0,84,10100.0,2879.782609,45,17,1842.97,4,142,22,10,29,26,1570.0,5620.6,832.1,0
5844,47900.0,3,46,2,0.0,34,1725.0,3711.25,29,12,9000.0,5,46,19,17,15,14,420.0,746.67,200.67,1
847,50000.03,0,300,187,0.0,18,17500.0,8000.0,5,7,0.03,6,300,5,0,49,50,1701.0,11529.0,304.5,0
5776,100.0,6,62,11,8.45,5,10000.0,4000.0,13,3,0.0,9,20,1,1,14,15,1098.5,2349.1,295.75,0
6255,390417.46,5,153,98,0.0,76,12503.33333,24678.91444,36,9,152107.46,4,153,15,8,19,16,2646.0,6850.2,1558.2,0
4326,5000.11,13,67,23,38.95,16,312.5,1023.333333,26,5,5000.11,9,38,13,9,26,35,225.5,545.3,96.35,1
6333,3337.73,20,107,67,0.0,28,-88888.0,3487.5,39,18,37.73,9,78,3,1,12,12,425.0,2414.0,476.0,0
5862,67000.0,15,92,70,0.0,44,0.0,4815.237368,39,21,0.0,5,92,5,2,4,5,266.0,886.67,167.83,1
7669,6970.0,5,36,17,0.0,16,812.5,394.2857143,18,10,20.0,7,33,28,20,29,41,178.5,624.75,98.81,1
5386,313115.25,24,421,265,0.0,282,4007.229792,6751.715083,79,61,292075.25,3,421,10,6,11,10,16425.5,40075.75,2840.5,0
3352,13500.73,0,50,22,0.0,11,2300.0,2163.636364,7,5,8700.73,9,39,0,0,0,1,18.0,82.8,9.0,0
2996,28950.0,19,145,71,0.0,118,3188.333333,2093.269231,47,19,13230.0,6,130,0,0,0,0,3047.5,10335.0,1888.12,0
